Assessmentyear,Year,SSB,SSB_SD,SSB_LOW,SSB_UPP,R,R_SD,R_LOW,R_UPP,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,Favg,Fmsy,Bmsy,F.Fmsy,B.Bmsy,assessmenttype
2013,1970,8761.33,934.119,7083.11,10837.2,13324.4,1975.99,9920.55,17896.1,0,0,0,0.01,0.02,0.04,0.08,0.07,0.02,0.02,0.02,0.02,0.03,0.37,3660.02313,0.069242679,2.393790883,assessment
2013,1971,8112.35,894.069,6511.9,10106.2,13345.1,1877.87,10085.5,17658.3,0,0,0.01,0.01,0.02,0.05,0.09,0.08,0.03,0.02,0.02,0.02,0.03,0.41,3398.0248,0.06986651,2.387372217,assessment
2013,1972,7817.86,857.648,6281.81,9729.49,14277.3,1801.5,11104,18357.4,0,0,0.01,0.01,0.01,0.02,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.36,3128.95844,0.033563552,2.498550284,assessment
2013,1973,7726.16,825.397,6243.59,9560.78,15016.6,1784.47,11850,19029.5,0,0,0.01,0.01,0.01,0.02,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.31,3067.42509,0.044606097,2.518777076,assessment
2013,1974,7675.53,794.044,6244.4,9434.66,18553.4,1993.61,14974.7,22987.3,0,0.01,0.03,0.02,0.02,0.04,0.08,0.08,0.02,0.02,0.02,0.02,0.03,0.27,3168.14207,0.110390711,2.422722792,assessment
2013,1975,7762.78,763.7,6379.28,9446.33,26971.9,2427.69,22536.6,32280,0,0,0.01,0.01,0.02,0.05,0.1,0.09,0.03,0.02,0.02,0.02,0.03,0.39,3149.72392,0.082092784,2.464590611,assessment
2013,1976,8141.04,736.845,6795.55,9752.94,32627.5,2724.68,27616.9,38547.2,0,0,0.01,0.01,0.02,0.05,0.11,0.1,0.04,0.02,0.02,0.02,0.04,0.38,3270.94712,0.093702994,2.488893798,assessment
2013,1977,8810.46,710.99,7499.26,10350.9,31490.8,2734.58,26478.9,37451.4,0,0.02,0.08,0.03,0.03,0.06,0.11,0.11,0.04,0.03,0.03,0.03,0.05,0.22,3499.28137,0.222183209,2.517791246,assessment
2013,1978,9551.35,683.058,8279.94,11018,30253.8,2655.72,25391,36047.8,0,0.02,0.05,0.03,0.05,0.1,0.19,0.2,0.08,0.05,0.05,0.05,0.07,0.3,3408.5128,0.245010957,2.802204527,assessment
2013,1979,10188.5,644.968,8977.98,11562.2,30108.3,2598.38,25343.4,35769.1,0,0.01,0.04,0.03,0.05,0.11,0.22,0.27,0.13,0.1,0.1,0.1,0.1,0.4,3356.74242,0.24113219,3.035234381,assessment
2013,1980,10854,598.675,9721.12,12118.8,31790.1,2734.53,26774.1,37745.8,0,0.02,0.05,0.03,0.04,0.09,0.18,0.22,0.11,0.08,0.08,0.08,0.08,0.32,3644.73862,0.251601579,2.977991327,assessment
2013,1981,11170.5,548.983,10125.3,12323.5,40004.9,3225.69,34055.7,46993.3,0,0.02,0.06,0.03,0.06,0.13,0.27,0.32,0.17,0.11,0.11,0.11,0.11,0.4,3263.42988,0.285346446,3.422932439,assessment
