ANO;MACROZONA;TRIMESTRE;GRUPO_EDAD;CAPT;PORC;L_PR;VAR;P_PR;CAPT_TON;PORC_TON;CRITERIO LECTURA
2001;2;2;1;1206924.376;3.862;23.587;3.148;0.159;191947.392;2.684;validacion
2001;2;2;2;20506002.9;65.618;25.221;3.63;0.194;3987477.143;55.755;validacion
2001;2;2;3;5196388.548;16.628;27.688;2.13;0.255;1325166.694;18.529;validacion
2001;2;2;4;2574579.419;8.239;28.365;7.825;0.28;720430.079;10.073;validacion
2001;2;2;5;1141677.922;3.653;30.295;13.963;0.346;395413.144;5.529;validacion
2001;2;2;6;165260.322;0.529;35.935;1.561;0.555;91672.489;1.282;validacion
2001;2;2;7;130698.757;0.418;39.407;3.085;0.733;95820.505;1.34;validacion
2001;2;2;8;141770.114;0.454;44.027;8.563;1.03;145964.72;2.041;validacion
2001;2;2;9;101335.772;0.324;42;0;0.882;89401.518;1.25;validacion
2001;2;2;10;58532.072;0.187;46;0;1.159;67833.469;0.948;validacion
2001;2;2;12;27224.875;0.087;49.989;4;1.494;40680.992;0.569;validacion
2002;2;2;0;22387.638;0.272;21;0;0.089;1988.542;0.106;validacion
2002;2;2;1;301525.381;3.657;22.162;6.921;0.109;32956.341;1.762;validacion
2002;2;2;2;3734901.257;45.299;24.939;4.362;0.153;572822.104;30.627;validacion
2002;2;2;3;2276375.256;27.609;28.206;2.792;0.221;502772.986;26.881;validacion
2002;2;2;4;843483.603;10.23;30.241;7.103;0.277;233466.257;12.483;validacion
2002;2;2;5;461650.695;5.599;34.034;5.783;0.394;181687.97;9.714;validacion
2002;2;2;6;275572.703;3.342;37.1;3.278;0.508;139963.403;7.483;validacion
2002;2;2;7;244717.359;2.968;38.918;6.253;0.591;144607.462;7.732;validacion
2002;2;2;8;71640.442;0.869;40.482;6.773;0.666;47740.064;2.552;validacion
2002;2;2;9;12792.936;0.155;45.667;9.889;0.964;12336.103;0.66;validacion
2003;2;2;1;106173.266;1.168;24.524;2.864;0.157;16634.908;0.658;validacion
2003;2;2;2;3164793.394;34.824;26.446;1.538;0.194;613703.625;24.257;validacion
2003;2;2;3;2387006.5;26.265;28.593;1.758;0.244;581318.93;22.977;validacion
2003;2;2;4;1938955.709;21.335;30.303;5.302;0.291;565096.192;22.336;validacion
2003;2;2;5;791001.178;8.704;32.765;4.291;0.364;288195.114;11.391;validacion
2003;2;2;6;317656.769;3.495;36.24;15.893;0.5;158827.68;6.278;validacion
2003;2;2;7;164812.15;1.814;39.595;8.699;0.636;104831.267;4.144;validacion
2003;2;2;8;126222.556;1.389;43.586;6.449;0.837;105647.819;4.176;validacion
2003;2;2;9;26115.012;0.287;44.667;14.556;0.909;23732.193;0.938;validacion
2003;2;2;10;56582.525;0.623;46.538;16.556;1.025;58024.254;2.293;validacion
2003;2;2;11;4352.502;0.048;57;0;1.815;7900.425;0.312;validacion
2003;2;2;12;4352.502;0.048;52;0;1.388;6042.451;0.239;validacion
2004;2;2;1;56660.902;0.527;25.104;2.848;0.161;9110.01;0.232;validacion
2004;2;2;2;1088269.748;10.131;26.73;5.986;0.196;213551.626;5.432;validacion
2004;2;2;3;2907361.243;27.066;29.178;2.116;0.251;728915.85;18.54;validacion
2004;2;2;4;2203016.429;20.509;31.283;4.203;0.311;684099.599;17.4;validacion
2004;2;2;5;2161281.75;20.121;34.357;2.741;0.409;883531.417;22.473;validacion
2004;2;2;6;995067.452;9.264;37.109;2.684;0.514;511792.596;13.017;validacion
2004;2;2;7;894153.728;8.324;40.149;2.831;0.651;581837.296;14.799;validacion
2004;2;2;8;322535.988;3.003;41.283;10.152;0.716;230972.749;5.875;validacion
2004;2;2;9;76323.666;0.711;40.637;7.791;0.681;51948.17;1.321;validacion
2004;2;2;10;21192.514;0.197;43.233;1.393;0.81;17160.227;0.436;validacion
2004;2;2;11;282.756;0.003;57;1;1.851;523.254;0.013;validacion
2004;2;2;12;15428.027;0.144;49;0;1.175;18135.264;0.461;validacion
2005;2;2;2;1333564.328;10.145;27.199;1.106;0.204;271690.229;6.61;validacion
2005;2;2;3;2957415.07;22.499;28.891;1.974;0.245;725261.819;17.645;validacion
2005;2;2;4;5410561.483;41.162;30.149;2.446;0.279;1511266.853;36.767;validacion
