Year,Fleet,type,Label,1,2,3,4,5,6,7,8,9,10,11,12
1975,1,catch,N_Chile,0,4073,13776,44143,60659,166146,171002,81053,29641,8253,4552,1070
1976,1,catch,N_Chile,0,27,1676,10342,62211,190616,229530,109553,17356,4612,104,0
1977,1,catch,N_Chile,122,12767,20036,48155,149760,239459,184136,68069,10018,155,0,0
1978,1,catch,N_Chile,0,5910,92821,171908,149947,99992,274829,227407,75025,11649,99,0
1979,1,catch,N_Chile,0,0,40320,104406,202313,247236,261704,212251,72124,7503,87,0
1980,1,catch,N_Chile,0,5663,19209,39611,120365,158767,188736,133955,25201,792,0,0
1981,1,catch,N_Chile,0,0,17592,107026,226852,272757,332572,167387,32014,4135,31,0
1982,1,catch,N_Chile,0,1674,29021,332623,362536,484944,639872,367034,127157,21795,225,0
1983,1,catch,N_Chile,0,102,1966,49812,151839,222327,205704,103468,21178,556,27,0
1984,1,catch,N_Chile,0,4148,232259,599923,284517,284809,377052,318705,67881,4009,0,0
1985,1,catch,N_Chile,0,886,53397,255301,400091,427340,252577,73876,12239,1256,0,0
1986,1,catch,N_Chile,4646,15143,14153,8069,9791,17324,26790,15727,6358,1078,0,0
1987,1,catch,N_Chile,940,69685,612169,638980,149771,36285,27361,8978,428,431,16,0
1988,1,catch,N_Chile,0,3652,130324,489772,452240,105585,5445,647,14,0,0,0
1989,1,catch,N_Chile,0,7901,4867,43820,326596,271953,55735,9161,2786,295,47,0
1990,1,catch,N_Chile,6262,77422,5668,27866,236685,412335,84292,8079,388,94,3,0
1991,1,catch,N_Chile,21,17154,218253,217953,121225,180648,259236,64615,5402,5551,1113,542
1992,1,catch,N_Chile,1787,30253,252037,142917,268721,274311,149879,60020,8877,790,39,0
1993,1,catch,N_Chile,2413,66476,1485903,597010,115335,99352,19235,7088,2161,730,123,77
1994,1,catch,N_Chile,431,139526,339253,101904,266129,131505,23152,3211,1618,68,0,0
1995,1,catch,N_Chile,2315,170501,345192,296965,146207,84328,17213,801,82,0,0,0
1996,1,catch,N_Chile,131844,269877,533140,572880,155446,30636,7068,63,68,0,0,0
1997,1,catch,N_Chile,191,26244,307207,204870,23575,694,72,0,0,0,0,0
1998,1,catch,N_Chile,0,3406,89297,37875,18933,5847,285,1,0,0,0,0
1999,1,catch,N_Chile,38,24289,319634,75711,15598,5394,392,7,0,0,0,0
2000,1,catch,N_Chile,57122,235887,136283,236690,110317,15424,39,0,0,0,0,0
2001,1,catch,N_Chile,1568,256795,1326138,491732,25070,1848,0,0,0,0,0,0
2002,1,catch,N_Chile,48483,98920,391463,176981,92150,18789,4497,276,26,0,0,0
2003,1,catch,N_Chile,7504,158188,604518,242543,53916,21616,9440,1894,295,0,0,0
2004,1,catch,N_Chile,747,17164,103070,464915,191312,7389,275,0,0,0,0,0
2005,1,catch,N_Chile,43804,324087,476065,193396,151443,43843,5150,0,0,0,0,0
2006,1,catch,N_Chile,27386,38392,390068,607711,68098,25256,8161,1256,49,0,0,0
2007,1,catch,N_Chile,681,93552,346671,475258,113550,27460,17712,7169,1191,165,165,66
2008,1,catch,N_Chile,14499,712726,359139,117862,138886,110359,12931,844,191,41,0,0
2009,1,catch,N_Chile,569,58921,250894,432581,34649,70639,3089,78,0,0,0,0
2010,1,catch,N_Chile,4,524298,57658,360130,140820,36448,9825,1044,506,146,0,0
2011,1,catch,N_Chile,20901,199846,94185,11650,3387,5921,383,0,0,0,0,0
2012,1,catch,N_Chile,2080455,6700598,8465934,34863481,4648381,106332,0,0,0,0,0,0
2013,1,catch,N_Chile,5232401,86320606,33345959,861630,357301,415201,245386,34652,14421,0,0,0
2014,1,catch,N_Chile,3621810,55355737,597793,0,0,0,0,0,0,0,0,0
2015,1,catch,N_Chile,0.1070686,0.02654356,0.1050483,0.4891861,0.2000989,0.0564534,0.01083955,0.004761668,0,0,0,0
2016,1,catch,N_Chile,0,0,0.11949623,0.191854009,0.128362564,0.210697548,0.151365143,0.081497641,0.075119213,0.026336113,0.009888114,0.005383425
2017,1,catch,N_Chile,281849.4021,35099113.25,29604246.74,85994703.12,29768537.66,8548291.723,1249244.088,269457.3457,137070,68535,0,0
2018,1,catch,N_Chile,34460803.9,105594754.9,283814.3295,62878.78051,51789.74001,75156.28113,31725.13639,2316.548842,1158.274421,0,0,0
2019,1,catch,N_Chile,12421.02267,2520.648766,165.1260867,5536.08169,1834.633178,5947.324076,4527.627969,2293.895324,2377.165705,1436.434242,971.0067509,1735.606781
2020,1,catch,N_Chile,0,0,0,15151.34742,11722.96322,19870.44179,33209.8195,11625.6317,3300.668999,170.3698149,0,0
1975,2,catch,S-C_Chile,0,0,355,633,2259,7108,11305,10032,5551,1867,999,190
1976,2,catch,S-C_Chile,0,1272,364,353,1550,17545,45885,38920,18306,2707,37,0
1977,2,catch,S-C_Chile,1,223,462,5493,19717,34341,61594,47567,7128,684,70,4
1978,2,catch,S-C_Chile,0,595,4226,20574,70250,115605,96857,45404,12171,1330,0,0
1979,2,catch,S-C_Chile,0,20,13439,147552,206176,210012,208192,180490,120831,48163,4206,904
1980,2,catch,S-C_Chile,2152,3996,8314,128820,322829,356395,311998,166713,78325,17706,686,995
1981,2,catch,S-C_Chile,0,2419,8973,83655,392031,696981,627159,326988,99193,23220,3581,800
1982,2,catch,S-C_Chile,1324,4221,8889,118067,618244,826235,877968,626789,224844,57471,10391,13914
1983,2,catch,S-C_Chile,1624,98937,191076,314984,749070,1084641,1113032,548218,207964,30697,3760,1259
1984,2,catch,S-C_Chile,98,7977,190091,357918,447250,985396,1175198,851961,292315,38931,7977,394
1985,2,catch,S-C_Chile,53,889,39763,372792,621888,1131123,1405139,725890,182303,21926,2839,2111
1986,2,catch,S-C_Chile,7703,32892,50408,254334,720436,1125301,1563727,833125,141461,12640,1048,651
1987,2,catch,S-C_Chile,8538,240224,509673,459902,311739,907439,1929691,1290613,257500,39754,3890,922
1988,2,catch,S-C_Chile,442,23756,228313,1415721,1662909,665913,1203766,1215469,405628,50539,6623,114
1989,2,catch,S-C_Chile,0,5570,34610,283575,1634407,2293278,1376907,1070507,406813,64106,1490,0
1990,2,catch,S-C_Chile,248,5228,1826,31608,506751,1598666,2003162,1148443,668436,128313,8666,130
1991,2,catch,S-C_Chile,54,30081,134146,122717,56100,419889,1682863,1831750,982207,504943,158725,46297
1992,2,catch,S-C_Chile,0,0,71389,186534,321697,367160,405356,1258212,1072392,952609,406683,151907
1993,2,catch,S-C_Chile,0,11391,231606,759545,940331,854977,790767,758606,893719,721295,259075,41588
1994,2,catch,S-C_Chile,0,21702,87328,808441,1200387,1266242,802876,692317,1102792,853702,284938,26970
1995,2,catch,S-C_Chile,760,9375,365691,1727987,1350915,2318999,1687597,807698,562790,385464,170813,31602
1996,2,catch,S-C_Chile,3354,48674,835128,1041899,1421658,1327055,1172716,792734,374612,171145,70209,20378
1997,2,catch,S-C_Chile,7893,191472,1428562,2627586,1898630,906334,488229,377039,302621,132121,75881,42083
1998,2,catch,S-C_Chile,25251,242671,1516538,1864189,763106,345371,165969,178113,173183,79161,32019,13170
1999,2,catch,S-C_Chile,2407,190107,1825090,1676166,718361,267024,76733,34947,59069,54516,34827,28903
2000,2,catch,S-C_Chile,780,46357,597816,1633359,1015296,412689,115221,42928,47268,58944,37371,31373
2001,2,catch,S-C_Chile,3,32966,361663,970229,1270037,594890,184069,82580,61986,57150,47079,76019
2002,2,catch,S-C_Chile,3553,44875,395001,846794,853666,522140,191428,97160,80106,76745,63094,99435
