ANO,MACROZONA,TRIMESTRE,GRUPO_EDAD,CAPT,PORC,L_PR,VAR,P_PR,CAPT_TON,PORC_TON,CRITERIO LECTURA
1980,Arica - antofagasta (Fleet 1),1° trimestre,4,510427.1905,0.205887214,27.84478818,0.131121368,0.225364234,115.0320329,0.109586746,antiguo
1980,Arica - antofagasta (Fleet 1),1° trimestre,5,22674421.09,9.14601234,30.03308958,1.422749642,0.289225772,6558.026956,6.247588754,antiguo
1980,Arica - antofagasta (Fleet 1),1° trimestre,6,61080225.33,24.63747552,31.74841319,2.518033936,0.347219873,21208.2681,20.20432947,antiguo
1980,Arica - antofagasta (Fleet 1),1° trimestre,7,96043108.01,38.74019308,34.42963524,2.942346424,0.451179226,43332.65515,41.28141144,antiguo
1980,Arica - antofagasta (Fleet 1),1° trimestre,8,55292538.39,22.30293935,35.45844049,1.497774485,0.493929831,27310.63412,26.01782697,antiguo
1980,Arica - antofagasta (Fleet 1),1° trimestre,9,12303407.98,4.962734033,36.06057942,2.396428937,0.522764182,6431.781013,6.127318932,antiguo
1980,Arica - antofagasta (Fleet 1),1° trimestre,10,11797,0.004758468,45,0,1.062208415,12.53087267,0.011937697,antiguo
1980,Arica - antofagasta (Fleet 1),2° trimestre,2,18575.53333,0.005755233,24,0,0.135783812,2.522256725,0.002273725,antiguo
1980,Arica - antofagasta (Fleet 1),2° trimestre,3,2533333.764,0.784899481,23.85762923,1.352026413,0.134333347,340.3112033,0.30677842,antiguo
1980,Arica - antofagasta (Fleet 1),2° trimestre,4,21607186.46,6.694526274,27.34577125,1.577148883,0.206858532,4469.630862,4.029212906,antiguo
1980,Arica - antofagasta (Fleet 1),2° trimestre,5,62681759.78,19.42060752,28.92765652,1.521900641,0.24698626,15481.53341,13.95605054,antiguo
1980,Arica - antofagasta (Fleet 1),2° trimestre,6,72539738.65,22.4748922,30.82976124,2.50773468,0.303087524,21985.88981,19.819496,antiguo
1980,Arica - antofagasta (Fleet 1),2° trimestre,7,75436346.31,23.37234435,33.55974095,2.971999969,0.396634893,29920.68715,26.97243297,antiguo
1980,Arica - antofagasta (Fleet 1),2° trimestre,8,77233928.53,23.9292869,34.60773829,2.273071318,0.436147117,33685.35528,30.3661471,antiguo
1980,Arica - antofagasta (Fleet 1),2° trimestre,9,10708136.98,3.317688052,35.43720042,3.127133418,0.471108105,5044.69012,4.54760833,antiguo
1980,Arica - antofagasta (Fleet 1),3° trimestre,4,1077899.786,16.71429628,29.22222222,0.172839667,0.247783591,267.0858796,14.8713364,antiguo
1980,Arica - antofagasta (Fleet 1),3° trimestre,5,2201862.429,34.14285956,30.08368247,1.097599256,0.268652518,591.5358856,32.93670621,antiguo
1980,Arica - antofagasta (Fleet 1),3° trimestre,6,2420667.125,37.53572276,30.7640337,0.80445296,0.285158735,690.2743758,38.43446336,antiguo
1980,Arica - antofagasta (Fleet 1),3° trimestre,7,613418.5179,9.511885045,32.41176068,1.941837589,0.329108355,201.8811592,11.24073889,antiguo
1980,Arica - antofagasta (Fleet 1),3° trimestre,8,135121.1429,2.095236353,32.63636229,0.867774039,0.334517301,45.20036005,2.516755138,antiguo
1980,Arica - antofagasta (Fleet 1),4° trimestre,5,1198183.331,3.44633878,33.37454663,0.624961097,0.461739228,553.2482464,3.1561075,antiguo
1980,Arica - antofagasta (Fleet 1),4° trimestre,6,13597802.52,39.11140554,34.49936547,1.495342715,0.495498422,6737.68969,38.43640373,antiguo
1980,Arica - antofagasta (Fleet 1),4° trimestre,7,16346202.33,47.01663723,34.91746488,2.555986449,0.508710934,8315.491859,47.4372696,antiguo
1980,Arica - antofagasta (Fleet 1),4° trimestre,8,3624658.817,10.42561846,35.6258077,2.373571617,0.530537919,1923.018945,10.97021916,antiguo
1980,Caldera - Guaitecas (Fleet 2),1° trimestre,2,59515.6,0.319998658,19.9176384,1.910887075,0.093274004,5.551258307,0.115989072,antiguo
1980,Caldera - Guaitecas (Fleet 2),1° trimestre,3,258719.5667,1.391062413,21.44113169,0.88523722,0.113064857,29.25209075,0.611198878,antiguo
1980,Caldera - Guaitecas (Fleet 2),1° trimestre,4,3604849.69,19.38226386,26.62949145,1.344454093,0.202950096,731.6045893,15.28628868,antiguo
1980,Caldera - Guaitecas (Fleet 2),1° trimestre,5,7693418.032,41.36534699,28.20375141,1.974514116,0.237308279,1825.711791,38.1467775,antiguo
1980,Caldera - Guaitecas (Fleet 2),1° trimestre,6,4623033.977,24.85675467,30.5467812,1.765502417,0.293967812,1359.023183,28.39569488,antiguo
1980,Caldera - Guaitecas (Fleet 2),1° trimestre,7,2003327.353,10.77132826,32.43652648,2.474293511,0.34604698,693.2453807,14.48480391,antiguo
1980,Caldera - Guaitecas (Fleet 2),1° trimestre,8,312110.6105,1.678131053,34.23748689,1.070775555,0.399087095,124.5593168,2.602566607,antiguo
1980,Caldera - Guaitecas (Fleet 2),1° trimestre,9,43728.1703,0.235114085,33.95716588,1.127861534,0.390384343,17.07079304,0.356680472,antiguo
1980,Caldera - Guaitecas (Fleet 2),2° trimestre,2,5763.8,0.009543305,24,0,0.143734689,0.828457999,0.005605301,antiguo
1980,Caldera - Guaitecas (Fleet 2),2° trimestre,3,1039278.527,1.720766136,22.98432911,5.50569773,0.130729128,135.8639757,0.919248089,antiguo
1980,Caldera - Guaitecas (Fleet 2),2° trimestre,4,10100078.36,16.72301732,27.21459125,0.741212575,0.204476909,2065.232804,13.97325008,antiguo
1980,Caldera - Guaitecas (Fleet 2),2° trimestre,5,26914602.55,44.56335374,28.48194559,1.359242467,0.23249427,6257.490871,42.33783457,antiguo
1980,Caldera - Guaitecas (Fleet 2),2° trimestre,6,16221817.93,26.85897403,29.89412168,2.063270633,0.266446685,4322.24961,29.24410003,antiguo
1980,Caldera - Guaitecas (Fleet 2),2° trimestre,7,5238319.105,8.673249653,31.87143487,1.409404837,0.317740397,1664.425591,11.26141081,antiguo
1980,Caldera - Guaitecas (Fleet 2),2° trimestre,8,756141.9675,1.251968031,33.15414425,1.731242648,0.354804212,268.2823547,1.815183463,antiguo
1980,Caldera - Guaitecas (Fleet 2),2° trimestre,9,120265.7567,0.199127795,38.31033367,18.23086354,0.544870901,65.52931117,0.443367668,antiguo
1980,Caldera - Guaitecas (Fleet 2),3° trimestre,3,618357.9481,4.973479259,23.66634497,10.34829132,0.141373439,87.41938962,2.852854212,antiguo
1980,Caldera - Guaitecas (Fleet 2),3° trimestre,4,2979253.831,23.96226519,27.44414261,1.091128715,0.209399199,623.8533673,20.35890109,antiguo
1980,Caldera - Guaitecas (Fleet 2),3° trimestre,5,4921109.705,39.58069452,28.8378746,1.284592084,0.242811847,1194.903737,38.9946232,antiguo
