ANO,MACROZONA,Zone,TRIMESTRE,GRUPO_EDAD,CAPT,PORC,L_PR,VAR,P_PR,CAPT_TON,PORC_TON,Method
1980,1,N_Chile,1,2,510.428,0.206,27.845,0.131,0.225,115.032,0.11,validacion
1980,1,N_Chile,1,3,22674.423,9.146,30.033,1.423,0.289,6558.027,6.248,validacion
1980,1,N_Chile,1,4,61080.227,24.637,31.748,2.518,0.347,21208.269,20.204,validacion
1980,1,N_Chile,1,5,96043.11,38.74,34.43,2.942,0.451,43332.656,41.281,validacion
1980,1,N_Chile,1,6,55292.541,22.303,35.458,1.498,0.494,27310.636,26.018,validacion
1980,1,N_Chile,1,7,12303.411,4.963,36.061,2.396,0.523,6431.784,6.127,validacion
1980,1,N_Chile,1,8,11.798,0.005,45,0,1.062,12.532,0.012,validacion
1980,1,N_Chile,2,1,2538.301,0.786,26.066,4.937,0.182,461.563,0.416,validacion
1980,1,N_Chile,2,2,27066.231,8.386,27.321,2.263,0.208,5626.004,5.072,validacion
1980,1,N_Chile,2,3,57236.327,17.733,28.991,1.535,0.249,14278.923,12.873,validacion
1980,1,N_Chile,2,4,72539.74,22.475,30.83,2.508,0.303,22013.708,19.846,validacion
1980,1,N_Chile,2,5,75436.348,23.372,33.56,2.972,0.396,29888.093,26.945,validacion
1980,1,N_Chile,2,6,77233.931,23.929,34.608,2.273,0.435,33621.843,30.311,validacion
1980,1,N_Chile,2,7,10708.137,3.318,35.437,3.127,0.47,5031.645,4.536,validacion
1980,1,N_Chile,3,2,1077.9,16.714,29.222,0.173,0.248,267.086,14.871,validacion
1980,1,N_Chile,3,3,2201.864,34.143,30.084,1.098,0.269,591.536,32.937,validacion
1980,1,N_Chile,3,4,2420.668,37.536,30.764,0.804,0.285,690.275,38.434,validacion
1980,1,N_Chile,3,5,613.42,9.512,32.412,1.942,0.329,201.882,11.241,validacion
1980,1,N_Chile,3,6,135.121,2.095,32.636,0.868,0.335,45.2,2.517,validacion
1980,1,N_Chile,4,3,1198.184,3.446,33.375,0.625,0.462,553.248,3.156,validacion
1980,1,N_Chile,4,4,13597.805,39.111,34.499,1.495,0.495,6737.691,38.436,validacion
1980,1,N_Chile,4,5,16346.206,47.017,34.917,2.556,0.509,8315.494,47.437,validacion
1980,1,N_Chile,4,6,3624.66,10.426,35.626,2.374,0.531,1923.019,10.97,validacion
1981,1,N_Chile,1,2,3135.281,1.802,27.665,3.9,0.224,703.751,0.843,validacion
1981,1,N_Chile,1,3,15403.839,8.855,29.889,1.662,0.286,4403.762,5.277,validacion
1981,1,N_Chile,1,4,34699.089,19.947,32.932,3.486,0.395,13704.38,16.422,validacion
1981,1,N_Chile,1,5,51952.381,29.866,35.175,2.106,0.488,25331.12,30.355,validacion
1981,1,N_Chile,1,6,54392.185,31.268,36.452,2.136,0.548,29804.805,35.716,validacion
1981,1,N_Chile,1,7,10289.682,5.915,38.33,2.256,0.646,6647.139,7.965,validacion
1981,1,N_Chile,1,8,4080.947,2.346,39.239,3.506,0.7,2854.902,3.421,validacion
1981,1,N_Chile,2,1,1984.992,0.273,27.637,0.923,0.216,428.754,0.155,validacion
1981,1,N_Chile,2,2,50565.641,6.954,28.025,2.678,0.227,11476.977,4.137,validacion
1981,1,N_Chile,2,3,87988.268,12.1,29.46,3.332,0.265,23304.859,8.401,validacion
1981,1,N_Chile,2,4,149490.407,20.558,31.852,4.112,0.337,50326.71,18.142,validacion
1981,1,N_Chile,2,5,273787.79,37.652,34.026,3.017,0.41,112333.103,40.495,validacion
1981,1,N_Chile,2,6,131659.743,18.106,35.553,3.488,0.47,61830.289,22.289,validacion
1981,1,N_Chile,2,7,28952.918,3.982,37.413,3.083,0.548,15868.498,5.72,validacion
1981,1,N_Chile,2,8,2724.348,0.375,40.007,2.844,0.672,1831.205,0.66,validacion
