Chile_AcousN,0,1,2,3,4,5,6,7,8,9,10,11,12
2006,13346,98362,2813,0,0,0,0,0,0,0,0,0,0
2007,14506,157154,72237,22835,5957,0,0,0,0,0,0,0,0
2009,11399,6654,313,42,44,0,0,0,0,0,0,0,0
2013,9360,18512,42854,49504,19557,4319,449,0,0,0,0,0,0
2014,62529,5291,1785,12218,7752,0,0,0,0,0,0,0,0
2015,91405,196182,78930,62629,23175,1773,1263,0,0,0,0,0,0
2016,193137,218435,73995,38237,23253,17602,10362,0,2710,0,0,0,0
2017,140370,218445,131722,25578,16318,0,8442,3305,1482,539,549,0,0
2018,197785,71907,21571,6375,3874,1817,2566,949,0,0,0,0,0
2019,42593,864731,424553,87221,44008,13735,4837,0,0,0,0,0,0
2020,69685,129263,529748,677668,254034,57584,0,0,0,0,0,0,0
