Age,Numbers at age,Mean length,Mean weight,Total biomass,Year
0,,,,,2021
1,3 947 700,13.56964249,0.025333023,100007,2021
2,3 617 365,15.36240773,0.037655369,136213,2021
3, 157 613,18.89671249,0.071977729,11345,2021
4, 60 021,27.71926543,0.241909247,14520,2021
5,1 642 709,30.37825846,0.328598771,539792,2021
6,1 719 647,30.34976955,0.327264932,562780,2021
7, 563 139,32.03201316,0.389751025,219484,2021
8, 357 534,36.17741691,0.571042214,204167,2021
9, 187 812,34.21158056,0.48338502,90786,2021
10,,,,,2021
11, 7 914,42,0.906715322,7175,2021
12+,,,,,2021
