Age,Numbers at age,Mean length,Mean weight,Total biomass
0,,,,
1,7 565 065,14.4268837537853,0.0312159662813924,236151
2, 217 634,21.3298797168189,0.1179736554861560,25675
3,1 642 709,30.3782584624067,0.3285987709259420,539792
4,1 719 647,30.3497695500501,0.3272649315822110,562780
5, 563 139,32.0320131570823,0.3897510252699070,219484
6, 357 534,36.1774169110927,0.5710422141596660,204167
7, 187 812,34.2115805596572,0.4833850202384890,90786
8,,,,
9, 7 914,42.0000000000000,0.9067153219912240,7175
10,,,,
11,,,,
12+,,,,
