year,Index,Stderr
1983,0.858072873,0.171614575
1984,0.791806447,0.158361289
1985,0.702853491,0.140570698
1986,0.590663424,0.118132685
1987,0.705817118,0.141163424
1988,0.626019085,0.125203817
1989,0.615843331,0.123168666
1990,0.528525971,0.105705194
1991,0.596208241,0.119241648
1992,0.561330526,0.112266105
1993,0.499979604,0.099995921
1994,0.543304727,0.108660945
1995,0.490553652,0.09811073
1996,0.492209142,0.098441828
1997,0.405295686,0.081059137
1998,0.344199842,0.068839968
1999,0.35192631,0.070385262
2000,0.343482116,0.068696423
2001,0.41687507,0.083375014
2002,0.367290145,0.073458029
2003,0.323712383,0.064742477
2004,0.349235875,0.069847175
2005,0.318584586,0.063716917
2006,0.360680407,0.072136081
2007,0.263191338,0.052638268
2008,0.184125729,0.036825146
2009,0.153440947,0.030688189
2010,0.115636601,0.02312732
2011,0.064508339,0.012901668
2012,0.198501111,0.039700222
2013,0.175751221,0.035150244
2014,0.139716944,0.027943389
2015,0.115033296,0.023006659
2016,0.209535373,0.041907075
2017,0.252595455,0.050519091
2018,0.256872504,0.051374501
2019,0.284966435,0.056993287
2020,0.376285313,0.075257063
2021,0.370851483,0.074170297
