,Participant,Fleet_1,Fleet_2,Fleet_3,Fleet_4,Fleet_total
1,1970,101685.1,10309.1,4711,0,116705.2
2,1971,143454.4,14987.7,9189,0,167631.1
3,1972,64457,22545.9,18782,5500,111284.9
4,1973,83204.4,38390.5,42781,0,164375.9
5,1974,164762.1,28749.7,129211,0,322722.8
6,1975,207326.8,53878.1,37899,0,299103.9
7,1976,257697.6,84571.1,54154,35,396457.7
8,1977,226233.5,114572.3,504992,2273,848070.8
9,1978,398414.4,188266.7,386793,51290,1024764.1
10,1979,344050.6,253460.3,333809.816,370290.184,1301610.9
11,1980,288809,273453,414298.6668,339802.3332,1316363
12,1981,474817,586092,445638.2317,438122.7683,1944670
13,1982,789912,704771,143723.6791,733204.3209,2371611
14,1983,301934,563338,110690.0627,894299.9373,1870262
15,1984,727000,699301,200673.586,1059927.414,2686902
16,1985,511150,945839,114622.0523,799322.9477,2370934
17,1986,55210,1129107,51028.62586,837502.3741,2072848
18,1987,313310,1456727,46304,863423,2679764
19,1988,325462,1812793,244228.9228,863215.0772,3245699
20,1989,338600,2051517,281138.7899,875821.2101,3547077
21,1990,323089,2148786,370823.2159,872058.7841,3714757
22,1991,346245,2674267,213446.9098,543659.0902,3777618
23,1992,304243,2907817,111682,37932,3361674
24,1993,379467,2856777,133354,0,3369598
25,1994,222254,3819193,233346,0,4274793
26,1995,230177,4174016,550993,0,4955186
27,1996,278439,3604887,495518,0,4378844
28,1997,104198,2812866,680053,0,3597117
29,1998,30273,1582639,412846,0,2025758
30,1999,55654,1164035,203751,7,1423447
31,2000,118734,1115565,303701,2318,1540318
32,2001,248097,1401836,857702,20090,2527725
33,2002,108727,1410266,154823,76261,1750077
34,2003,143277,1278019,217734,158199,1797229
35,2004,158656,1292943,187369,295443,1934411
36,2005,165626,1264808,80663,243575.96,1754672.96
37,2006,155256,1224685,277568,362627.22,2020136.22
38,2007,172701,1130083,255360,438830.59,1996974.59
39,2008,167258,728850,169537,406986.41,1472631.41
40,2009,134022,700905,76628,371917.768,1283472.768
41,2010,169012,295796,22172,239593.04,726573.04
42,2011,30825,216470,326613,60891.144,634799.144
43,2012,13256,214204,187369,39917.48,454746.48
44,2013,16361,214999,80585,41175.201,353120.201
45,2014,18219,254295,74536.5,63652.413,410702.913
46,2015,34886,250327,22447,86671.826,394331.826
47,2016,24657,295160,15087,54162.75,389066.75
48,2017,35002,311863,8866.948,49112.78,404844.728
49,2018,11550.66,415148.7427,57162.717,42460.387,526322.5067
50,2019,11874.9755,432447.0245,135784,51435.65,631541.65
51,2020,44155,517665,140116,4739,703252.996
52,2021,61359,567267,129324.2911,34977.54137,781561.8029
