row,year,Fleet_1,Fleet_2,Fleet_3,Fleet_4,Fleet_total
1,1970,"101,685","10,309","4,711",0,"116,705"
2,1971,"143,454","14,988","9,189",0,"167,631"
3,1972,"64,457","22,546","18,782","5,500","111,285"
4,1973,"83,204","38,391","42,781",0,"164,376"
5,1974,"164,762","28,750","129,211",0,"322,723"
6,1975,"207,327","53,878","37,899",0,"299,104"
7,1976,"257,698","84,571","54,154",35,"396,458"
8,1977,"226,234","114,572","504,992","2,273","848,071"
9,1978,"398,414","188,267","386,793","51,290","1,024,764"
10,1979,"344,051","253,460","333,810","370,290","1,301,611"
11,1980,"288,809","273,453","414,299","339,802","1,316,363"
12,1981,"474,817","586,092","445,638","438,123","1,944,670"
13,1982,"789,912","704,771","143,724","733,204","2,371,611"
14,1983,"301,934","563,338","110,690","894,300","1,870,262"
15,1984,"727,000","699,301","200,674","1,059,927","2,686,902"
16,1985,"511,150","945,839","114,622","799,323","2,370,934"
17,1986,"55,210","1,129,107","51,029","837,502","2,072,848"
18,1987,"313,310","1,456,727","46,304","863,423","2,679,764"
19,1988,"325,462","1,812,793","244,229","863,215","3,245,699"
20,1989,"338,600","2,051,517","281,139","875,821","3,547,077"
21,1990,"323,089","2,148,786","370,823","872,059","3,714,757"
22,1991,"346,245","2,674,267","213,447","543,659","3,777,618"
23,1992,"304,243","2,907,817","111,682","37,932","3,361,674"
24,1993,"379,467","2,856,777","133,354",0,"3,369,598"
25,1994,"222,254","3,819,193","233,346",0,"4,274,793"
26,1995,"230,177","4,174,016","550,993",0,"4,955,186"
27,1996,"278,439","3,604,887","495,518",0,"4,378,844"
28,1997,"104,198","2,812,866","680,053",0,"3,597,117"
29,1998,"30,273","1,582,639","412,846",0,"2,025,758"
30,1999,"55,654","1,164,035","203,751",7,"1,423,447"
31,2000,"118,734","1,115,565","303,701","2,318","1,540,318"
32,2001,"248,097","1,401,836","857,702","20,090","2,527,725"
33,2002,"108,727","1,410,266","154,823","76,261","1,750,077"
34,2003,"143,277","1,278,019","217,734","158,199","1,797,229"
35,2004,"158,656","1,292,943","187,369","295,443","1,934,411"
36,2005,"165,626","1,264,808","80,663","243,576","1,754,673"
37,2006,"155,256","1,224,685","277,568","362,627","2,020,136"
38,2007,"172,701","1,130,083","255,360","438,831","1,996,975"
39,2008,"167,258","728,850","169,537","406,986","1,472,631"
40,2009,"134,022","700,905","76,628","371,918","1,283,473"
41,2010,"169,012","295,796","22,172","239,593","726,573"
42,2011,"30,825","216,470","325,939","60,891","634,125"
43,2012,"13,256","214,204","187,369","39,917","454,746"
44,2013,"16,361","214,999","83,004","41,175","355,539"
45,2014,"18,219","254,295","79,200","63,652","415,366"
46,2015,"34,886","250,327","23,325","86,672","395,210"
47,2016,"24,657","295,160","15,121","54,163","389,101"
48,2017,"35,002","311,863","10,148","49,113","406,126"
49,2018,"11,551","415,149","58,379","42,460","527,539"
50,2019,"11,875","432,447","139,811","51,436","635,569"
51,2020,"44,155","517,665","158,880","5,245","725,945"
52,2021,"61,359","567,267","118,104","55,318","802,048"
53,2022,"72,795","655,157","159,608","71,468","959,028"
54,2023,"80,466","736,292","210,000","56,965","1,083,723"
