cm	value	total	cum_prop
5	141.4664396	121422413.778072	1.16507681900117e-06
6	13043.554159811	121422413.778072	0.000108588029089174
7	34212.625269509	121422413.778072	0.000390353349057533
8	22385.222856029	121422413.778072	0.000574711591984109
9	5760.103803536	121422413.778072	0.000622150146566494
10	5889.183745359	121422413.778072	0.000670651766342583
11	4362.249648939	121422413.778072	0.000706577997037618
12	16618.732231377	121422413.778072	0.000843445085364091
13	37637.976664823	121422413.778072	0.00115342061207051
14	86513.465035411	121422413.778072	0.00186592057269174
15	118916.595758363	121422413.778072	0.00284528337778069
16	110220.55695364	121422413.778072	0.00375302811389748
17	771743.114920267	121422413.778072	0.0101088819542832
18	4822380.6711973	121422413.778072	0.0498246191163802
19	11346645.9391485	121422413.778072	0.14327232441309
20	15708297.2013158	121422413.778072	0.272641332263868
21	17220276.9551014	121422413.778072	0.414462569540336
22	15309940.9982401	121422413.778072	0.540550830528316
23	12406834.4152468	121422413.778072	0.642729942516019
24	9544316.66397713	121422413.778072	0.721334183421834
25	5838431.49752087	121422413.778072	0.769417822314007
26	4028233.12819213	121422413.778072	0.802593189224063
27	3837537.6150513	121422413.778072	0.834198042855661
28	3702394.2207861	121422413.778072	0.864689894447024
29	3660791.8641485	121422413.778072	0.894839121020954
30	3426344.3320453	121422413.778072	0.923057505299723
31	2532433.316164	121422413.778072	0.943913896120553
32	1727286.05190001	121422413.778072	0.958139326155711
33	1184632.12764624	121422413.778072	0.967895614890107
34	836065.96251389	121422413.778072	0.974781213162285
35	626188.736796877	121422413.778072	0.979938323100334
36	455063.031852318	121422413.778072	0.983686091059256
37	341798.315469684	121422413.778072	0.986501043462478
38	288151.791919398	121422413.778072	0.988874178561292
39	228263.764855381	121422413.778072	0.990754093131863
40	186604.805324275	121422413.778072	0.992290916519886
41	161681.513298744	121422413.778072	0.993622478858897
42	132988.956377996	121422413.778072	0.994717737569707
43	114988.783092765	121422413.778072	0.99566475204187
44	100199.662633633	121422413.778072	0.996489967580879
45	87792.539915984	121422413.778072	0.997213001633524
46	71670.387068026	121422413.778072	0.997803258282507
47	57560.832665273	121422413.778072	0.998277312708492
48	46139.549504702	121422413.778072	0.998657304738539
49	38363.415179075	121422413.778072	0.998973254767742
50	31217.821775458	121422413.778072	0.999230355749382
51	26597.173007147	121422413.778072	0.999449402399663
52	21489.291752251	121422413.778072	0.99962638201227
53	14969.456555104	121422413.778072	0.999749666141529
54	10573.865069523	121422413.778072	0.999836749446336
55	8012.072855112	121422413.778072	0.9999027345689
56	6238.854701269	121422413.778072	0.999954115977877
57	2435.268804979	121422413.778072	0.999974172149791
58	927.660105662	121422413.778072	0.999981812091024
59	566.673956747	121422413.778072	0.999986479054389
60	528.615579795	121422413.778072	0.999990832579931
61	419.191803093	121422413.778072	0.99999428492279
62	311.706523393	121422413.778072	0.999996852047867
63	106.813978028	121422413.778072	0.999997731737001
64	90.346404093	121422413.778072	0.999998475803943
65	68.684644015	121422413.778072	0.999999041470873
66	57.836467232	121422413.778072	0.999999517795346
67	14.851742714	121422413.778072	0.999999640110018
68	4.806232881	121422413.778072	0.999999679692767
69	6.309858876	121422413.778072	0.999999731658946
70	0.952307208	121422413.778072	0.999999739501873
71	11.303336738	121422413.778072	0.999999832592896
72	20.3269746	121422413.778072	1
73	0	121422413.778072	1
74	0	121422413.778072	1
75	0	121422413.778072	1
76	0	121422413.778072	1
77	0	121422413.778072	1
78	0	121422413.778072	1
79	0	121422413.778072	1
80	0	121422413.778072	1
81	0	121422413.778072	1
82	0	121422413.778072	1
83	0	121422413.778072	1
84	0	121422413.778072	1
85	0	121422413.778072	1
86	0	121422413.778072	1
87	0	121422413.778072	1
88	0	121422413.778072	1
89	0	121422413.778072	1
90	0	121422413.778072	1
