"year","fspr","survivespr","f_fmsy","fmsy","f","fsprmsy","msy","msyl","bmsy","bzero","ssb","b_bmsy"
1970,0.98995,0.01005,0.01107,0.09294,0.00103,0.42308,232.28371,0.33333,1054.78513,3164.36128,2784.68079,2.64005
1971,0.98032,0.01968,0.02215,0.09149,0.00203,0.4284,231.91631,0.33948,1074.24229,3164.36128,2760.97669,2.57016
1972,0.95372,0.04628,-0.00594,-0.81417,0.00484,9506.9552,-8168258.55276,10985.65935,34762595.04432,3164.36128,2745.07573,8e-05
1973,0.90222,0.09778,-0.01426,-0.73924,0.01054,3946.27011,-3222574.56827,4559.97879,14429420.31844,3164.36128,2715.35767,0.00019
1974,0.71898,0.28102,-6.41546,-0.00534,0.03425,1.05397,-25.75426,1.06237,3361.72206,3164.36128,2618.76676,0.779
1975,0.9008,0.0992,-0.03052,-0.35067,0.0107,44.44399,-28863.57872,51.20195,162021.45408,3164.36128,2566.01793,0.01584
1976,0.86956,0.13044,-0.02084,-0.68824,0.01435,2174.17542,-1661556.80783,2512.22493,7949587.274,3164.36128,2529.67496,0.00032
1977,0.1873,0.8127,-0.26754,-0.74538,0.19942,4240.53851,-3151297.86242,4900.02227,15505440.74512,3164.36128,2131.51579,0.00014
1978,0.15192,0.84808,-0.28558,-0.81494,0.23274,9593.61235,-7481916.03611,11085.79649,35079465.16211,3164.36128,1774.39922,5e-05
1979,0.19452,0.80548,-0.89342,-0.21687,0.19376,9.9078,-5104.2484,11.29346,35736.58413,3164.36128,1567.03961,0.04385
1980,0.14638,0.85362,-0.59335,-0.4029,0.23906,80.51613,-49652.29407,92.88531,293922.66654,3164.36128,1268.173,0.00431
1981,0.07355,0.92645,-0.48837,-0.80962,0.39539,9010.92501,-6595156.55858,10412.4689,32948813.38097,3164.36128,918.93806,3e-05
1982,0.27905,0.72095,-1.09908,-0.1309,0.14387,3.87385,-1520.08525,4.32089,13672.85128,3164.36128,818.7848,0.05988
