model,parameter,n_eff,Rhat
h1_0.12,fmort[180],106,1.0183387557357
h1_0.12,fmort[181],106,1.01850856633851
h1_0.12,fmort[12],120,1.02671757232735
h1_0.12,fmort[179],123,1.01431571602095
h1_0.12,fmort[31],124,1.01976158704815
h1_0.12,fmort[14],125,1.02561139509871
h1_0.12,fmort[67],125,1.02237008051686
h1_0.12,fmort[68],126,1.02262402515662
h1_0.12,fmort[13],127,1.02530387457983
h1_0.12,rec_dev[11],129,1.03146724471601
h2_0.12,log_selcoffs_fsh[4][173],54,1.07952465048358
h2_0.12,log_selcoffs_fsh[4][155],56,1.07507079820108
h2_0.12,log_selcoffs_fsh[4][145],57,1.07761722429381
h2_0.12,log_selcoffs_fsh[4][146],58,1.07570057738751
h2_0.12,log_selcoffs_fsh[4][154],65,1.06614145264051
h2_0.12,log_selcoffs_fsh[4][163],65,1.06868753933893
h2_0.12,log_selcoffs_fsh[4][172],65,1.07222980880038
h2_0.12,log_selcoffs_fsh[4][181],70,1.06433185651363
h2_0.12,log_selcoffs_fsh[4][136],71,1.07040081566588
h2_0.12,log_selcoffs_fsh[4][127],72,1.06604658222497
