"year","length_cm","proportion","ridge_height"
1983,10,0,0
1983,11,0,0
1983,12,0,0
1983,13,0,0
1983,14,8.365954e-05,0.000692797057211141
1983,15,0.0007590585,0.00628587600471032
1983,16,0.003926026,0.0325120035244567
1983,17,0.02151325,0.178154413603608
1983,18,0.060677,0.502475235226017
1983,19,0.08056951,0.667208060538507
1983,20,0.07901019,0.654295100375799
1983,21,0.07747701,0.641598609429578
1983,22,0.07821766,0.64773204191586
1983,23,0.0582848,0.482665072269581
1983,24,0.03874937,0.320889279391038
1983,25,0.02762582,0.228773512250303
1983,26,0.01808321,0.14974974369846
1983,27,0.02307995,0.191128488640749
1983,28,0.06276603,0.519774802453207
1983,29,0.1207562,1
1983,30,0.1163474,0.963490073387536
1983,31,0.06151325,0.509400345489507
1983,32,0.03514815,0.291067042520384
1983,33,0.01703192,0.141043855305152
1983,34,0.008569156,0.0709624516173911
1983,35,0.004373632,0.0362186951891497
1983,36,0.002665563,0.0220739224983893
1983,37,0.001665161,0.0137894451796264
1983,38,0.0007072669,0.00585698208456377
1983,39,0.0001095052,0.000906828800508794
1983,40,8.948108e-05,0.000741006093268917
1983,41,5.831577e-05,0.000482921539432344
1983,42,0.000142427,0.00117945910851782
1983,43,0,0
1983,44,0,0
1983,45,0,0
1983,46,0,0
1983,47,0,0
1983,48,0,0
1983,49,0,0
1983,50,0,0
1984,10,0,0
1984,11,0,0
1984,12,0,0
1984,13,0,0
1984,14,0,0
1984,15,0,0
1984,16,0,0
1984,17,0,0
1984,18,8.094262e-05,0.000452379414105465
1984,19,0.0006836066,0.00382060221409473
1984,20,0.002119057,0.011843176859312
1984,21,0.005698156,0.0318463681156051
1984,22,0.01401844,0.0783475216625383
1984,23,0.0333998,0.186667814252117
1984,24,0.05876967,0.328457231576782
1984,25,0.04599693,0.257071790412147
1984,26,0.02613975,0.146092192096862
1984,27,0.05552029,0.310296803601928
1984,28,0.1291225,0.721651472337229
1984,29,0.1789264,1
1984,30,0.1139242,0.636709842706275
1984,31,0.06771414,0.378446892129948
1984,32,0.06009057,0.335839596616262
1984,33,0.04532111,0.253294706650332
1984,34,0.03533689,0.197493997531946
1984,35,0.01988873,0.111155927800481
1984,36,0.01314795,0.073482448649277
1984,37,0.01479795,0.0827041174471738
1984,38,0.01101803,0.0615785596759338
1984,39,0.009614549,0.0537346584964544
1984,40,0.008010041,0.0447672394906509
1984,41,0.009717828,0.0543118734854108
1984,42,0.01048422,0.0585951542086579
1984,43,0.01174508,0.0656419622816979
1984,44,0.006805123,0.0380330851120908
1984,45,0.004471107,0.0249885260084593
1984,46,0.004448975,0.0248648326909836
1984,47,0.001967213,0.0109945374187375
1984,48,0.0005811475,0.00324796955619741
1984,49,2.971311e-05,0.000166063308712409
1984,50,0.0004098361,0.00229052895492225
1986,10,0.004063763,0.0281898025211366
1986,11,0.0168516,0.116897387019171
