year,samples_n,source,notes,scaled_sample_size
1972,100,digitized_from_image,approximate bar-height digitization,7.2888
1973,102,digitized_from_image,approximate bar-height digitization,7.4345
1974,218,digitized_from_image,approximate bar-height digitization,15.8895
1975,76,digitized_from_image,approximate bar-height digitization,5.5395
1976,106,digitized_from_image,approximate bar-height digitization,7.7261
1977,610,digitized_from_image,approximate bar-height digitization,44.4614
1978,330,digitized_from_image,approximate bar-height digitization,24.0529
1979,462,digitized_from_image,approximate bar-height digitization,33.6741
1980,424,digitized_from_image,approximate bar-height digitization,30.9043
1981,416,digitized_from_image,approximate bar-height digitization,30.3212
1982,712,digitized_from_image,approximate bar-height digitization,51.896
1983,348,digitized_from_image,approximate bar-height digitization,25.3649
1984,618,digitized_from_image,approximate bar-height digitization,45.0445
1985,164,digitized_from_image,approximate bar-height digitization,11.9536
1986,208,digitized_from_image,approximate bar-height digitization,15.1606
1987,168,digitized_from_image,approximate bar-height digitization,12.2451
1988,676,digitized_from_image,approximate bar-height digitization,49.272
1989,350,digitized_from_image,approximate bar-height digitization,25.5107
1990,424,digitized_from_image,approximate bar-height digitization,30.9043
1991,332,digitized_from_image,approximate bar-height digitization,24.1987
1992,240,digitized_from_image,approximate bar-height digitization,17.493
1993,238,digitized_from_image,approximate bar-height digitization,17.3473
1994,224,digitized_from_image,approximate bar-height digitization,16.3268
1995,588,digitized_from_image,approximate bar-height digitization,42.8579
1996,856,digitized_from_image,approximate bar-height digitization,62.3918
1997,968,digitized_from_image,approximate bar-height digitization,70.5552
1998,430,digitized_from_image,approximate bar-height digitization,31.3417
1999,784,digitized_from_image,approximate bar-height digitization,57.1439
2000,1004,digitized_from_image,approximate bar-height digitization,73.1792
2001,398,digitized_from_image,approximate bar-height digitization,29.0093
2002,968,digitized_from_image,approximate bar-height digitization,70.5552
2003,588,digitized_from_image,approximate bar-height digitization,42.8579
2004,254,digitized_from_image,approximate bar-height digitization,18.5135
2005,1094,digitized_from_image,approximate bar-height digitization,79.739
2006,548,digitized_from_image,approximate bar-height digitization,39.9424
2007,262,digitized_from_image,approximate bar-height digitization,19.0966
2008,202,digitized_from_image,approximate bar-height digitization,14.7233
2009,50,digitized_from_image,approximate bar-height digitization,3.6444
2010,832,digitized_from_image,approximate bar-height digitization,60.6425
2011,556,digitized_from_image,approximate bar-height digitization,40.5255
2012,262,digitized_from_image,approximate bar-height digitization,19.0966
2013,262,digitized_from_image,approximate bar-height digitization,19.0966
2014,82,digitized_from_image,approximate bar-height digitization,5.9768
2015,90,digitized_from_image,approximate bar-height digitization,6.5599
2016,136,digitized_from_image,approximate bar-height digitization,9.9127
2017,330,digitized_from_image,approximate bar-height digitization,24.0529
2018,492,digitized_from_image,approximate bar-height digitization,35.8607
2019,220,digitized_from_image,approximate bar-height digitization,16.0353
2020,360,digitized_from_image,approximate bar-height digitization,26.2395
2021,542,digitized_from_image,approximate bar-height digitization,39.5051
2022,624,digitized_from_image,approximate bar-height digitization,45.4819
2023,306,digitized_from_image,approximate bar-height digitization,22.3036
2024,296,digitized_from_image,approximate bar-height digitization,21.5747
2025,296,digitized_from_image,rightmost visible bar assigned to 2025 for model sample-size vector,21.5747
