year,distance_from_port_km,fishing_trip_duration_days,catch_per_set_tons,vessel_hold_capacity_m3,catch_proportion_referenced_st_percent,number_of_fishing_sets
1994,161.9,2.2,177.2,847,0.3,69
1995,205.6,2.0,143.5,959,0.9,268
1996,381.9,3.2,171.2,1073,1.9,397
1997,192.6,2.7,118.5,1188,2.0,468
1998,222.4,2.6,153.5,1389,8.6,883
1999,197.4,2.6,148.7,1354,11.4,893
2000,224.9,2.6,181.1,1484,13.8,832
2001,180.6,2.4,174.8,1367,30.2,2407
2002,270.5,3.4,174.4,1243,24.6,1970
2003,413.0,3.3,164.6,1228,19.8,1534
2004,447.9,3.3,225.1,1272,44.9,2578
2005,483.2,3.5,220.5,1251,43.6,2504
2006,284.8,2.5,244.6,1299,7.7,388
2007,448.7,4.1,192.0,1357,14.5,854
2008,947.0,7.2,189.6,1346,39.1,1505
2009,845.4,7.2,165.3,1375,36.8,1557
2010,970.2,9.2,151.3,1395,46.0,897
2011,769.1,8.4,95.9,1532,32.6,732
2012,253.3,3.6,125.5,1438,76.5,1293
2013,331.7,3.9,141.9,1468,56.4,853
2014,300.2,5.7,114.5,1577,21.2,471
2015,541.7,6.2,111.6,1518,40.3,901
2016,355.6,4.3,159.9,1626,29.2,531
2017,286.5,4.0,157.8,1614,23.3,449
2018,281.9,3.8,152.7,1674,16.8,455
2019,196.2,2.6,211.2,1561,41.2,823
2020,204.5,2.4,253.8,1564,50.9,1036
2021,185.0,2.5,247.6,1564,69.7,1596
2022,122.1,2.3,242.9,1585,80.9,2001
2023,136.8,1.6,252.9,1578,83.4,2379
2024,196.9,2.8,232.7,1583,92.4,5237
2025,375.0,3.8,233.1,1608,88.8,4163
2026,221.8,3.9,238.8,1584,81.0,954
