"year","catch_per_set_tons","vessel_hold_capacity_m3","number_of_fishing_sets","catch_per_set_per_hold_set"
1995,143.5,959,268,0.000558339688419218
1996,171.2,1073,397,0.000401895859204988
1997,118.5,1188,468,0.000213135629802296
1998,153.5,1389,883,0.000125154200574486
1999,148.7,1354,893,0.000122981800016872
2000,181.1,1484,832,0.00014667673128758
2001,174.8,1367,2407,5.31247407205696e-05
2002,174.4,1243,1970,7.12211735975269e-05
2003,164.6,1228,1534,8.73788057026615e-05
2004,225.1,1272,2578,6.86444564798415e-05
2005,220.5,1251,2504,7.03909715677937e-05
2007,192,1357,854,0.000165677491504714
2008,189.6,1346,1505,9.35958888894374e-05
2009,165.3,1375,1557,7.72114205640217e-05
2010,151.3,1395,897,0.000120912799734679
2011,95.9,1532,732,8.55162721682432e-05
2012,125.5,1438,1293,6.74972866628589e-05
2013,141.9,1468,853,0.000113320193834231
2014,114.5,1577,471,0.000154153321297257
2015,111.6,1518,901,8.15957675485736e-05
2016,159.9,1626,531,0.00018519676722191
2017,157.8,1614,449,0.000217749480464643
2018,152.7,1674,455,0.000200480523061168
2019,211.2,1561,823,0.000164395973232724
2020,253.8,1564,1036,0.000156637273005559
2021,247.6,1564,1596,9.91929952759136e-05
2022,242.9,1585,2001,7.65863125219725e-05
2023,252.9,1578,2379,6.73670280352322e-05
2024,232.7,1583,5237,2.80693848172734e-05
2025,233.1,1608,4163,3.48216878614375e-05
